Tags,Words,C,AUC
8,250,5.0,0.9255
8,250,10.0,0.9255
8,275,0.01,0.9252
8,275,0.5,0.9255
8,275,1.0,0.9255
8,275,0.1,0.9255
8,275,5.0,0.9255
8,275,10.0,0.9255
8,300,0.01,0.9252
8,300,0.1,0.9255
8,300,0.5,0.9255
8,300,1.0,0.9255
8,300,5.0,0.9255
8,300,10.0,0.9255
8,325,0.01,0.9252
8,325,0.1,0.9255
8,325,0.5,0.9255
8,325,1.0,0.9255
8,325,5.0,0.9255
8,325,10.0,0.9255
8,350,0.01,0.9252
8,350,0.1,0.9255
8,350,0.5,0.9255
8,350,1.0,0.9255
8,350,5.0,0.9255
8,350,10.0,0.9255
8,400,0.01,0.9252
8,400,0.5,0.9255
8,400,0.1,0.9255
8,400,1.0,0.9255
8,400,5.0,0.9255
8,400,10.0,0.9255
8,450,0.1,0.9255
8,450,0.01,0.9253
8,450,1.0,0.9255
8,450,0.5,0.9255
8,450,5.0,0.9255
8,450,10.0,0.9255
8,500,0.1,0.9255
8,500,0.01,0.9253
8,500,0.5,0.9255
8,500,1.0,0.9255
8,500,5.0,0.9255
8,550,0.01,0.9253
8,500,10.0,0.9255
8,550,0.1,0.9255
8,550,0.5,0.9255
8,550,1.0,0.9255
8,550,10.0,0.9255
8,550,5.0,0.9255
8,600,0.1,0.9255
8,600,0.5,0.9255
8,600,1.0,0.9255
8,600,0.01,0.9252
8,600,5.0,0.9255
8,600,10.0,0.9255
9,50,0.01,0.9253
9,50,0.1,0.9255
9,50,0.5,0.9255
9,50,1.0,0.9255
9,50,5.0,0.9255
9,75,0.01,0.9253
9,50,10.0,0.9255
9,75,0.1,0.9255
9,75,1.0,0.9256
9,75,0.5,0.9256
9,75,5.0,0.9256
9,75,10.0,0.9256
9,100,0.01,0.9253
9,100,0.1,0.9255
9,100,0.5,0.9256
9,100,1.0,0.9256
9,100,5.0,0.9256
9,100,10.0,0.9256
9,150,0.01,0.9253
9,150,0.1,0.9255
9,150,1.0,0.9256
9,150,0.5,0.9256
9,150,5.0,0.9256
9,150,10.0,0.9256
9,200,0.01,0.9253
9,200,0.1,0.9255
9,200,0.5,0.9256
9,200,1.0,0.9256
9,200,5.0,0.9256
9,200,10.0,0.9256
9,225,0.01,0.9253
9,225,0.1,0.9255
9,225,0.5,0.9256
9,225,1.0,0.9256
9,225,5.0,0.9256
9,225,10.0,0.9256
9,250,0.1,0.9255
9,250,0.01,0.9253
9,250,0.5,0.9256
9,250,1.0,0.9256
9,250,10.0,0.9256
9,250,5.0,0.9256
9,275,0.01,0.9253
9,275,0.5,0.9256
9,275,0.1,0.9255
9,275,1.0,0.9256
9,275,5.0,0.9256
9,275,10.0,0.9256
9,300,0.01,0.9253
9,300,0.5,0.9256
9,300,0.1,0.9255
9,300,1.0,0.9256
9,300,10.0,0.9256
9,300,5.0,0.9256
9,325,0.01,0.9253
9,325,0.1,0.9255
9,325,0.5,0.9256
9,325,1.0,0.9256
9,325,5.0,0.9256
9,325,10.0,0.9256
9,350,0.01,0.9253
9,350,0.1,0.9255
9,350,0.5,0.9256
9,350,1.0,0.9256
9,350,5.0,0.9256
9,350,10.0,0.9256
9,400,0.01,0.9253
9,400,0.1,0.9256
9,400,0.5,0.9256
9,400,5.0,0.9256
9,400,1.0,0.9256
9,400,10.0,0.9256
9,450,0.01,0.9253
9,450,0.1,0.9256
9,450,0.5,0.9256
9,450,5.0,0.9256
9,450,1.0,0.9256
9,450,10.0,0.9256
9,500,0.01,0.9253
9,500,0.1,0.9256
9,500,0.5,0.9256
9,500,1.0,0.9256
9,500,10.0,0.9256
9,500,5.0,0.9256
9,550,0.01,0.9253
9,550,0.5,0.9256
9,550,0.1,0.9255
9,550,1.0,0.9256
9,550,5.0,0.9256
9,550,10.0,0.9256
9,600,0.01,0.9253
9,600,0.1,0.9255
9,600,0.5,0.9256
9,600,1.0,0.9256
9,600,5.0,0.9256
9,600,10.0,0.9256
10,50,0.01,0.9253
10,50,0.1,0.9255
10,50,0.5,0.9256
10,50,1.0,0.9256
10,50,5.0,0.9256
10,50,10.0,0.9256
10,75,0.01,0.9253
10,75,0.5,0.9256
10,75,0.1,0.9255
10,75,1.0,0.9256
10,75,5.0,0.9256
10,75,10.0,0.9256
10,100,0.01,0.9253
10,100,0.1,0.9255
10,100,0.5,0.9256
10,100,1.0,0.9256
10,100,10.0,0.9256
10,100,5.0,0.9256
10,150,0.01,0.9253
10,150,0.1,0.9255
10,150,1.0,0.9256
10,150,5.0,0.9256
10,150,0.5,0.9256
10,150,10.0,0.9256
10,200,0.01,0.9253
10,200,0.1,0.9255
10,200,0.5,0.9256
10,200,5.0,0.9256
10,200,10.0,0.9256
10,200,1.0,0.9256
10,225,0.01,0.9253
10,225,0.1,0.9255
10,225,0.5,0.9256
10,225,1.0,0.9256
10,225,10.0,0.9256
10,225,5.0,0.9256
10,250,0.01,0.9253
10,250,0.1,0.9256
10,250,0.5,0.9256
10,250,1.0,0.9256
10,250,5.0,0.9256
10,250,10.0,0.9256
10,275,0.01,0.9253
10,275,0.1,0.9256
10,275,0.5,0.9256
10,275,1.0,0.9256
10,275,5.0,0.9256
10,275,10.0,0.9256
10,300,0.01,0.9253
10,300,0.1,0.9256
10,300,0.5,0.9256
10,300,1.0,0.9256
10,300,10.0,0.9256
10,300,5.0,0.9256
10,325,0.01,0.9253
10,325,0.1,0.9256
10,325,0.5,0.9256
10,325,5.0,0.9256
10,325,1.0,0.9256
10,325,10.0,0.9256
10,350,0.01,0.9253
10,350,0.1,0.9256
10,350,0.5,0.9256
10,350,1.0,0.9256
10,350,5.0,0.9256
10,400,0.01,0.9253
10,350,10.0,0.9256
10,400,0.1,0.9256
10,400,0.5,0.9256
10,400,5.0,0.9256
10,400,1.0,0.9256
10,400,10.0,0.9256
10,450,0.01,0.9253
10,450,0.5,0.9256
10,450,0.1,0.9256
10,450,1.0,0.9256
10,450,5.0,0.9256
10,450,10.0,0.9256
10,500,0.01,0.9253
10,500,0.1,0.9256
10,500,0.5,0.9256
10,500,1.0,0.9256
10,500,5.0,0.9256
10,500,10.0,0.9256
10,550,0.01,0.9253
10,550,0.1,0.9256
10,550,0.5,0.9256
10,550,1.0,0.9256
10,550,5.0,0.9256
10,600,0.01,0.9253
10,550,10.0,0.9256
10,600,0.1,0.9255
10,600,0.5,0.9256
10,600,1.0,0.9256
10,600,5.0,0.9256
10,600,10.0,0.9256
11,50,0.01,0.9251
11,50,0.1,0.9253
11,50,0.5,0.9253
11,50,1.0,0.9253
11,50,5.0,0.9253
11,50,10.0,0.9253
11,75,0.01,0.9251
11,75,0.1,0.9253
11,75,1.0,0.9253
11,75,0.5,0.9253
11,75,5.0,0.9253
11,75,10.0,0.9253
11,100,0.1,0.9253
11,100,0.01,0.9251
11,100,0.5,0.9253
11,100,1.0,0.9253
11,100,5.0,0.9253
11,100,10.0,0.9253
11,150,0.1,0.9253
11,150,0.5,0.9253
11,150,0.01,0.9251
11,150,5.0,0.9253
11,150,1.0,0.9253
11,200,0.01,0.9251
11,150,10.0,0.9253
11,200,0.1,0.9253
11,200,0.5,0.9253
11,200,1.0,0.9253
11,200,5.0,0.9253
11,200,10.0,0.9253
11,225,0.01,0.9251
11,225,0.1,0.9253
11,225,0.5,0.9253
11,225,1.0,0.9253
11,225,5.0,0.9253
11,225,10.0,0.9253
11,250,0.01,0.9251
11,250,0.1,0.9253
11,250,0.5,0.9253
11,250,1.0,0.9253
11,250,5.0,0.9253
11,250,10.0,0.9253
11,275,0.01,0.9251
11,275,0.1,0.9253
11,275,0.5,0.9253
11,275,5.0,0.9253
11,275,1.0,0.9253
11,275,10.0,0.9253
11,300,0.01,0.9251
11,300,0.1,0.9253
11,300,0.5,0.9253
11,300,5.0,0.9253
11,300,1.0,0.9253
11,325,0.01,0.9251
11,300,10.0,0.9253
11,325,0.1,0.9253
11,325,0.5,0.9253
11,325,1.0,0.9253
11,325,5.0,0.9253
11,325,10.0,0.9253
11,350,0.01,0.9251
11,350,0.1,0.9253
11,350,0.5,0.9253
11,350,1.0,0.9253
11,350,5.0,0.9253
11,350,10.0,0.9253
11,400,0.1,0.9253
11,400,0.01,0.9251
11,400,0.5,0.9253
11,400,1.0,0.9253
11,400,5.0,0.9253
11,400,10.0,0.9253
11,450,0.01,0.9251
11,450,0.1,0.9253
11,450,1.0,0.9254
11,450,0.5,0.9254
11,450,5.0,0.9254
11,450,10.0,0.9254
11,500,0.01,0.9251
11,500,0.1,0.9253
11,500,0.5,0.9254
11,500,1.0,0.9254
11,500,5.0,0.9254
11,500,10.0,0.9254
